"name","source","truth","estimated","error","relative_error"
"Optimal growth pH","Methanoregula boonei",5.1,7.01515785714286,1.91515785714286,0.375521148459384
"Optimal growth pH","Methanosphaerula palustris",5.5,7.02110380952381,1.52110380952381,0.276564329004328
"Optimal growth pH","Methanobacterium subterraneum",8.3,6.94089726190477,1.35910273809523,0.163747317842799
"Optimal growth pH","Methanospirillum hungatei",8,6.93232642857143,1.06767357142857,0.133459196428572
"Optimal growth pH","Methanobacterium kanagiense",8,6.96337214285714,1.03662785714286,0.129578482142857
"Optimal growth pH","Methanolobus taylorii",7.85,6.87842892857143,0.971571071428571,0.123767015468608
"Optimal growth pH","Methanobacterium flexile",8,7.03931833333333,0.960681666666668,0.120085208333333
"Optimal growth pH","Methanococcus maripaludis",6,6.9092255952381,0.909225595238099,0.15153759920635
"Optimal growth pH","Methanosarcina soligelidi",7.8,6.99887666666667,0.801123333333333,0.10270811965812
"Optimal growth pH","Methermicoccus shengliensis",6.25,7.00612353174604,0.756123531746038,0.120979765079366
"Optimal growth pH","Methanobacterium lacus",6.5,7.23598047619048,0.735980476190483,0.113227765567767
"Optimal growth pH","Methanotorris igneus",5.7,6.37986285714286,0.67986285714286,0.11927418546366
"Optimal growth pH","Methanolobus profundi",6.55,7.17894595238096,0.628945952380955,0.0960222828062527
"Optimal growth pH","Methanobacterium movens",7.5,6.87953488095238,0.620465119047616,0.0827286825396822
"Optimal growth pH","Methanolobus zinderi",7.5,6.88033261904763,0.61966738095237,0.082622317460316
"Optimal growth pH","Methanoregula formicica",7.4,6.80036880952381,0.599631190476195,0.0810312419562426
"Optimal growth pH","Methanobacterium petrolearium",6.5,7.09780523809524,0.597805238095237,0.0919700366300365
"Optimal growth pH","Methanobacterium ferruginis",6.75,7.32600892857143,0.576008928571433,0.0853346560846567
"Optimal growth pH","Methanospirillum lacunae",7.5,7.0060344047619,0.493965595238095,0.0658620793650794
"Optimal growth pH","Methanothermobacter tenebrarum",7.3,6.81631619047618,0.483683809523816,0.0662580560991529
"Optimal growth pH","Methanosarcina spelaei",6.5,6.95761154761904,0.457611547619042,0.0704017765567756
"Optimal growth pH","Methanocorpusculum aggregans",6.75,7.14573857142857,0.395738571428569,0.0586279365079362
"Optimal growth pH","Methanoculleus bourgensis",6.7,7.09131023809524,0.391310238095236,0.0584045131485427
"Optimal growth pH","Methanocaldococcus jannaschii",6,6.37463261904761,0.374632619047614,0.062438769841269
"Optimal growth pH","Methanosaeta pelagica",7.5,7.16749916666667,0.33250083333333,0.044333444444444
"Optimal growth pH","Methanohalophilus levihalophilus",7.25,6.93803571428572,0.311964285714284,0.0430295566502461
"Optimal growth pH","Methanocella arvoryzae",7,7.30652404761905,0.306524047619048,0.043789149659864
"Optimal growth pH","Methanothermococcus okinawensis",6.5,6.79713821428571,0.29713821428571,0.0457135714285708
"Optimal growth pH","Methanocaldococcus vulcanius",6.5,6.23686452380953,0.263135476190473,0.0404823809523805
"Optimal growth pH","Methanosarcina siciliae",6.8,7.06170944444445,0.261709444444445,0.0384866830065361
"Optimal growth pH","Methanocaldococcus infernus",6.5,6.24099309523809,0.259006904761907,0.0398472161172165
"Optimal growth pH","Methanobacterium beijingense",7.45,7.20954976190477,0.240450238095232,0.0322751997443265
"Optimal growth pH","Methanocaldococcus fervens",6.5,6.25982714285715,0.240172857142853,0.0369496703296697
"Optimal growth pH","Methanopyrus kandleri",6.5,6.28561809523809,0.214381904761908,0.0329818315018321
"Optimal growth pH","Methanoculleus sediminis",7.1,6.89219500000001,0.207804999999992,0.0292683098591537
"Optimal growth pH","Methanosarcina horonobensis",7.125,6.95819952380953,0.166800476190475,0.0234105931495403
"Optimal growth pH","Methanobacterium thermaggregans",7.25,7.08331630952382,0.166683690476184,0.022990853858784
"Optimal growth pH","Methanomethylovorans thermophila",6.6,6.75911547619047,0.159115476190474,0.0241084054834051
"Optimal growth pH","Methanoculleus horonobensis",6.75,6.90659404761905,0.156594047619053,0.0231991181657856
"Optimal growth pH","Methanoculleus thermophilus",7,7.14663071428572,0.146630714285719,0.0209472448979598
"Optimal growth pH","Methanocella conradii",6.8,6.93001011904762,0.130010119047621,0.0191191351540619
"Optimal growth pH","Methanothermobacter crinale",6.9,7.02566630952381,0.125666309523808,0.0182125086266389
"Optimal growth pH","Methanosarcina baltica",7.2,7.10229873015873,0.0977012698412736,0.013569620811288
"Optimal growth pH","Methanolinea tarda",7,6.90534071428572,0.0946592857142834,0.0135227551020405
"Optimal growth pH","Methanolinea mesophila",7,6.90569511904761,0.0943048809523894,0.0134721258503413
"Optimal growth pH","Methanococcus aeolicus",7,6.90590095238095,0.0940990476190464,0.0134427210884352
"Optimal growth pH","Methanolobus bombayensis",7.2,7.1278619047619,0.0721380952380954,0.0100191798941799
"Optimal growth pH","Methanomethylovorans hollandica",6.75,6.82196607142857,0.0719660714285668,0.0106616402116395
"Optimal growth pH","Methanohalophilus portucalensis",7,7.06506035714285,0.0650603571428547,0.00929433673469353
"Optimal growth pH","Methanothermococcus thermolithotrophicus",7,6.93930095238095,0.060699047619047,0.00867129251700671
